,NITROGEN SHARE IN NPK (Percent),PHOSPHATE SHARE IN NPK (Percent),POTASH SHARE IN NPK (Percent),LENGTH OF GROWING PERIOD DAYS (Number),TOTAL AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),ANNUAL RAINFALL (Millimeters),crop_name,crop_yield
0,54.47,31.79,13.75,164.0,1988.17,1405.63,136.65,1149.7,RICE YIELD (Kg per ha),1695.77
1,53.56,33.69,12.75,164.0,1988.17,1409.94,136.83,1282.3,RICE YIELD (Kg per ha),1756.23
2,58.43,31.47,10.11,164.0,1988.17,1415.98,137.6,1092.1,RICE YIELD (Kg per ha),1900.97
3,58.05,30.36,11.59,164.0,1639.34,1431.3,138.89,1568.0,RICE YIELD (Kg per ha),1581.86
4,56.7,33.33,9.97,164.0,1640.28,1438.76,140.21,1379.7,RICE YIELD (Kg per ha),1729.89
5,57.14,32.69,10.17,164.0,1640.28,1438.03,139.61,1008.7,RICE YIELD (Kg per ha),1076.95
6,54.12,35.04,10.85,164.0,1988.17,1467.94,141.39,1246.75,RICE YIELD (Kg per ha),2085.96
7,56.47,33.03,10.49,164.0,1838.94,1429.6542857142856,138.74,1246.75,RICE YIELD (Kg per ha),1168.92
8,52.94,30.45,16.61,194.0,3905.76,869.33,103.88,1623.2,RICE YIELD (Kg per ha),1905.45
9,54.65,34.03,11.32,194.0,3905.76,844.83,103.86,1160.5,RICE YIELD (Kg per ha),1231.23
10,57.88,30.65,11.47,194.0,3905.76,850.17,103.92,1542.6,RICE YIELD (Kg per ha),2103.06
11,58.15,29.72,12.13,194.0,2350.0,853.63,104.04,1434.5,RICE YIELD (Kg per ha),1969.4
12,56.73,31.08,12.2,194.0,2357.91,856.61,104.16,1476.6,RICE YIELD (Kg per ha),2129.33
13,51.49,35.07,13.44,194.0,2357.91,844.52,104.03,1538.5,RICE YIELD (Kg per ha),1030.87
14,54.07,33.01,12.91,194.0,3905.75,849.21,103.91,1462.6499999999999,RICE YIELD (Kg per ha),1973.24
15,55.8,33.0,11.2,194.0,3241.2642857142855,852.6142857142858,103.97142857142858,1462.6499999999999,RICE YIELD (Kg per ha),1214.23
16,58.2,29.21,12.59,201.0,2249.12,1181.8,125.63,1109.1,RICE YIELD (Kg per ha),1661.71
17,60.44,28.08,11.48,201.0,2249.12,1160.96,123.56,1322.9,RICE YIELD (Kg per ha),1483.67
18,64.93,29.39,5.68,201.0,2249.12,1184.23,126.41,1233.0,RICE YIELD (Kg per ha),1987.25
19,62.71,29.44,7.85,201.0,1534.28,1191.32,125.83,1443.6,RICE YIELD (Kg per ha),1733.23
20,62.99,27.35,9.66,201.0,1537.77,1220.67,127.99,1233.2,RICE YIELD (Kg per ha),2055.8
21,65.03,26.57,8.4,201.0,1538.31,1161.84,122.59,921.4,RICE YIELD (Kg per ha),1431.57
22,58.88,32.43,8.69,201.0,2249.12,1176.4,125.03,1210.5333333333335,RICE YIELD (Kg per ha),2410.09
23,59.44,30.83,9.73,201.0,1943.8342857142857,1182.4600000000003,125.29142857142857,1210.5333333333335,RICE YIELD (Kg per ha),1585.96
24,62.13,28.73,9.14,208.0,2147.07,1005.66,124.67,973.9,RICE YIELD (Kg per ha),1889.83
25,67.09,25.31,7.6,208.0,2147.07,1031.79,128.25,1290.1,RICE YIELD (Kg per ha),2079.01
26,68.78,26.12,5.1,208.0,2147.07,1028.36,128.15,1350.1,RICE YIELD (Kg per ha),2337.61
27,70.4,24.37,5.24,208.0,1518.67,1006.84,125.37,1449.5,RICE YIELD (Kg per ha),2171.95
28,68.95,25.54,5.51,208.0,1518.67,1005.75,125.08,1348.2,RICE YIELD (Kg per ha),2310.43
29,65.29,27.88,6.84,208.0,1518.67,1008.59,125.84,1056.8,RICE YIELD (Kg per ha),1831.92
30,64.18,29.12,6.69,208.0,2147.07,972.84,122.9,1244.7666666666667,RICE YIELD (Kg per ha),2554.21
31,66.57,27.12,6.31,208.0,1877.7557142857145,1008.5471428571428,125.75142857142859,1244.7666666666667,RICE YIELD (Kg per ha),1779.97
32,56.79,32.36,10.85,201.0,1298.51,561.76,108.81,988.3,RICE YIELD (Kg per ha),1375.15
33,64.95,30.21,4.84,201.0,1298.51,559.25,108.7,1288.5,RICE YIELD (Kg per ha),1430.41
34,66.99,28.42,4.59,201.0,1298.51,558.0,108.54,1237.3,RICE YIELD (Kg per ha),1517.28
35,65.37,28.69,5.94,201.0,977.16,556.01,108.75,1221.3,RICE YIELD (Kg per ha),1387.92
36,63.92,26.47,9.61,201.0,977.16,543.49,109.35,1227.8,RICE YIELD (Kg per ha),1608.68
37,63.22,29.33,7.46,201.0,977.16,544.29,109.05,1192.1,RICE YIELD (Kg per ha),1013.29
38,53.27,35.4,11.33,201.0,1298.52,557.24,108.87,1192.55,RICE YIELD (Kg per ha),1800.23
39,64.35,28.02,7.63,201.0,1160.7900000000002,554.2914285714286,108.86714285714285,1192.55,RICE YIELD (Kg per ha),1516.07
40,52.98,36.49,10.53,201.0,2201.21,647.31,114.08,596.7,RICE YIELD (Kg per ha),1075.9
41,51.32,39.27,9.41,201.0,2201.21,656.92,114.36,1383.6,RICE YIELD (Kg per ha),1405.53
42,62.71,32.25,5.04,201.0,2201.21,654.16,114.57,1122.5,RICE YIELD (Kg per ha),1632.47
43,64.36,27.82,7.82,201.0,1279.33,658.63,114.82,809.0,RICE YIELD (Kg per ha),1704.2
44,56.15,30.29,13.57,201.0,1280.85,662.45,114.74,840.0,RICE YIELD (Kg per ha),1801.22
45,58.69,31.83,9.48,201.0,1280.85,643.07,114.67,989.8,RICE YIELD (Kg per ha),1193.82
46,58.09,32.75,9.16,201.0,2201.21,649.79,115.11,956.9333333333334,RICE YIELD (Kg per ha),1732.96
47,56.44,31.71,11.85,201.0,1806.552857142857,653.1899999999999,114.62142857142855,956.9333333333334,RICE YIELD (Kg per ha),1389.84
48,58.39,35.9,5.71,254.0,1012.85,642.44,136.45,1351.5249999999999,RICE YIELD (Kg per ha),1025.81
